ponto;potencial;pontox;pontoy;ordem;status
PLA1;A;243715,062;8797396,353;1;Escavado 
PLA2;A;243743,4514;8797368,174;2;Escavado 
PLA3;A;243708,1621;8797360,932;3;Escavado 
TA1;A;243667,5118;8797349,057;4;Escavado 
PLA4;A;243701,2622;8797325,511;5;Escavado 
TA2;A;244000,7232;8797321,494;6;Escavado 
TA3;A;243594,3152;8797316,773;7;Escavado 
TA4;A;243770,7106;8797307,429;8;Escavado 
TA5;A;243810,6065;8797304,545;9;Escavado 
TA6;A;243647,0555;8797296,316;10;Escavado 
TA7;A;244074,5774;8797290,745;11;Escavado 
TA8;A;243789,2165;8797286,039;12;Escavado 
PLA5;A;243820,1205;8797282,671;13;Escavado 
TA9;A;243699,7959;8797275,86;14;Escavado 
TA10;A;244022,2755;8797269,192;15;Escavado 
TA11;A;243767,8265;8797267,534;16;Escavado 
TA12;A;243807,7225;8797264,649;17;Escavado 
PLA6;A;243769,8199;8797249,963;18;Escavado 
PLA7;A;243805,8418;8797249,529;19;Escavado 
PLA8;A;243841,8639;8797249,097;20;Escavado 
TA13;A;243969,9736;8797247,64;21;Escavado 
TA14;A;243690,8322;8797246,845;22;Escavado 
TA15;A;243626,5992;8797243,576;23;Escavado 
TM16;M;243914,3636;8797241,984;24;Escavado 
TA17;A;243742,3696;8797223,523;25;Escavado 
TA18;A;244043,828;8797216,891;26;Escavado 
PLA9;A;243791,563;8797216,388;27;Escavado 
TA19;A;243556,7472;8797214,116;28;Escavado 
TA20;A;243793,9069;8797200,202;29;Escavado 
TM21;M;243949,0005;8797197,259;30;Escavado 
TA22;A;243588,1536;8797189,344;31;Escavado 
TA23;A;243560,0646;8797186,026;32;Escavado 
TA24;A;243531,9755;8797182,709;33;Escavado 
TA25;A;243719,048;8797171,986;34;Escavado 
TA26;A;243662,5818;8797163,398;35;Escavado 
TA27;A;243563,382;8797157,937;36;Escavado 
TM28;M;243983,6375;8797152,535;37;Escavado 
TA29;A;243692,5626;8797136,918;38;Escavado 
TA30;A;243664,3326;8797135,168;39;Escavado 
TA31;A;243636,1026;8797133,417;40;Escavado 
PLA10;A;243476,3787;8797128,242;41;Escavado 
TA32;A;243666,0834;8797106,937;42;Escavado 
PLA11;A;243523,7337;8797091,398;43;Escavado 
PLA12;A;243467,5129;8797068,623;44;Escavado 
PLA13;A;243411,292;8797045,848;45;Escavado 
PLA14;A;243458,647;8797009,004;46;Escavado 
TA33;A;243483,8467;8796961,026;47;Escavado 
TA34;A;243352,3811;8796955,013;48;Escavado 
TA35;A;243513,8275;8796934,547;49;Escavado 
TA36;A;243485,5976;8796932,796;50;Escavado 
TA37;A;243457,3676;8796931,046;51;Escavado 
TA38;A;243383,7876;8796930,241;52;Escavado 
TA39;A;243355,6986;8796926,924;53;Escavado 
TA40;A;243327,6095;8796923,606;54;Escavado 
TA41;A;243487,3484;8796904,566;55;Escavado 
TA42;A;243359,016;8796898,834;56;Escavado 
TA43;A;243203,7521;8796766,575;57;Escavado 
TA44;A;243298,4918;8796751,161;58;Escavado 
TA45;A;243235,1586;8796741,803;59;Escavado 
TA46;A;243207,0695;8796738,485;60;Escavado 
TA47;A;243178,9805;8796735,168;61;Escavado 
TA48;A;243328,4726;8796724,681;62;Escavado 
TA49;A;243300,2426;8796722,931;63;Escavado 
TA50;A;243272,0125;8796721,18;64;Escavado 
TA51;A;243210,3869;8796710,396;65;Escavado 
TA52;A;243301,9933;8796694,7;66;Escavado 
PLA15;A;243133,4299;8796586,207;67;Escavado 
PLA16;A;243039,6077;8796539,064;68;Escavado 
PLA17;A;243099,7665;8796535,719;69;Escavado 
PLA18;A;243159,9252;8796532,374;70;Escavado 
PLA19;A;243161,4768;8796529,221;71;Escavado 
TA53;A;243014,5405;8796518,751;72;Escavado 
TA54;A;242983,4418;8796493,594;73;Escavado 
TA55;A;243011,5696;8796490,624;74;Escavado 
TA56;A;243039,6973;8796487,653;75;Escavado 
PLA20;A;243066,1031;8796485,231;76;Escavado 
PLA21;A;243067,6547;8796482,079;77;Escavado 
PLA22;A;243127,8134;8796478,733;78;Escavado 
PLA23;A;243187,9722;8796475,388;79;Escavado 
TA57;A;243055,0635;8796469,116;80;Escavado 
TA58;A;243008,5987;8796462,496;81;Escavado 
TA59;A;243023,2773;8796444,833;82;Escavado 
TA60;A;243051,3116;8796441,082;83;Escavado 
TA61;A;243079,3458;8796437,33;84;Escavado 
PLA24;A;243094,15;8796428,246;85;Escavado 
TA62;A;243047,5596;8796413,047;86;Escavado 
TA63;A;242633,1481;8796355,06;87;Escavado 
TA64;A;242592,2272;8796334,697;88;Escavado 
TA65;A;242702,3482;8796317,589;89;Escavado 
TA66;A;242632,8898;8796303,888;90;Escavado 
TA67;A;242664,3071;8796298,617;91;Escavado 
TA68;A;242673,8039;8796273,194;92;Escavado 
TA69;A;242702,5221;8796269,134;93;Escavado 
TA70;A;242632,133;8796252,941;94;Escavado 
TA71;A;242740,9439;8796239,704;95;Escavado 
TA72;A;242702,2829;8796220,892;96;Escavado 
ACM474;M;242403,1993;8796189,96;97;Escavado 
TA73;A;242206,2782;8796141,369;98;Escavado 
TA74;A;242168,7572;8796123,517;99;Escavado 
TM75;M;242302,9082;8796120,01;100;Escavado 
TA76;A;242206,2709;8796094,159;101;Escavado 
TM77;M;242303,1175;8796072,545;102;Escavado 
TA78;A;242243,6539;8796065,514;103;Escavado 
TA79;A;242206,5229;8796046,441;104;Escavado 
TM80;M;242303,1329;8796024,981;105;Escavado 
ACM473;M;241931,5583;8796010,148;106;Escavado 
TM81;M;241847,1782;8795896,04;107;Escavado 
TB82;B;241741,0181;8795864,946;108;Vistoriado 
TM83;M;241847,3589;8795848,481;109;Escavado 
TM84;M;241847,413;8795801,052;110;Escavado 
ACB472;B;241485,0254;8795739,907;111;Vistoriado 
TB85;B;241421,1904;8795638,628;112;Vistoriado 
TB86;B;241259,9704;8795628,442;113;Vistoriado 
